{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
               valid loss 16.078004  auc  0.7719  rmse  0.1139  df(ActivateDay.Avg) 0.1245
     train: epoch 25 loss 0.574271  auc  0.7629  rmse  0.1151  df(ActivateDay.Avg) 0.0418
               valid loss 16.236052  auc  0.7710  rmse  0.1140  df(ActivateDay.Avg) 0.1054
     train: epoch 26 loss 0.572393  auc  0.7624  rmse  0.1149  df(ActivateDay.Avg) 0.0417
               valid loss 16.354108  auc  0.7718  rmse  0.1138  df(ActivateDay.Avg) 0.0798
     train: epoch 27 loss 0.572319  auc  0.7618  rmse  0.1149  df(ActivateDay.Avg) 0.0423
               valid loss 16.529906  auc  0.7710  rmse  0.1139  df(ActivateDay.Avg) 0.0573
     train: epoch 28 loss 0.572053  auc  0.7614  rmse  0.1149  df(ActivateDay.Avg) 0.0412
               valid loss 16.500061  auc  0.7711  rmse  0.1139  df(ActivateDay.Avg) 0.0542
     train: epoch 29 loss 0.571924  auc  0.7618  rmse  0.1149  df(ActivateDay.Avg) 0.0401
               valid loss 16.844797  auc  0.7707  rmse  0.1139  df(ActivateDay.Avg) 0.0022
     train: epoch 30 loss 0.573401  auc  0.7624  rmse  0.1150  df(ActivateDay.Avg) 0.0406
               valid loss 16.007070  auc  0.7712  rmse  0.1142  df(ActivateDay.Avg) 0.1386
     train: epoch 31 loss 0.572065  auc  0.7629  rmse  0.1149  df(ActivateDay.Avg) 0.0432
               valid loss 16.888163  auc  0.7675  rmse  0.1144  df(ActivateDay.Avg) 0.0044
     train: epoch 32 loss 0.573651  auc  0.7608  rmse  0.1150  df(ActivateDay.Avg) 0.0406
               valid loss 17.039143  auc  0.7705  rmse  0.1140  df(ActivateDay.Avg) 0.0211
     train: epoch 33 loss 0.571630  auc  0.7631  rmse  0.1148  df(ActivateDay.Avg) 0.0430
               valid loss 16.838283  auc  0.7706  rmse  0.1139  df(ActivateDay.Avg) 0.0048
     train: epoch 34 loss 0.571578  auc  0.7618  rmse  0.1148  df(ActivateDay.Avg) 0.0424
               valid loss 16.257982  auc  0.7710  rmse  0.1140  df(ActivateDay.Avg) 0.0923
     train: epoch 35 loss 0.572363  auc  0.7605  rmse  0.1149  df(ActivateDay.Avg) 0.0430
               valid loss 18.050590  auc  0.7709  rmse  0.1152  df(ActivateDay.Avg) 0.1534
     train: epoch 36 loss 0.572630  auc  0.7619  rmse  0.1149  df(ActivateDay.Avg) 0.0419
               valid loss 15.865731  auc  0.7693  rmse  0.1145  df(ActivateDay.Avg) 0.1638
     train: epoch 37 loss 0.571774  auc  0.7618  rmse  0.1149  df(ActivateDay.Avg) 0.0434
               valid loss 18.170025  auc  0.7699  rmse  0.1155  df(ActivateDay.Avg) 0.1714
     train: epoch 38 loss 0.572235  auc  0.7644  rmse  0.1149  df(ActivateDay.Avg) 0.0423
               valid loss 16.740949  auc  0.7700  rmse  0.1140  df(ActivateDay.Avg) 0.0181
     train: epoch 39 loss 0.571602  auc  0.7626  rmse  0.1148  df(ActivateDay.Avg) 0.0431
               valid loss 16.319100  auc  0.7716  rmse  0.1138  df(ActivateDay.Avg) 0.0850
     train: epoch 40 loss 0.572425  auc  0.7630  rmse  0.1149  df(ActivateDay.Avg) 0.0423
               valid loss 15.874541  auc  0.7708  rmse  0.1144  df(ActivateDay.Avg) 0.1608
     train: epoch 41 loss 0.573873  auc  0.7603  rmse  0.1151  df(ActivateDay.Avg) 0.0409
               valid loss 16.490819  auc  0.7696  rmse  0.1140  df(ActivateDay.Avg) 0.0597
     train: epoch 42 loss 0.571264  auc  0.7638  rmse  0.1148  df(ActivateDay.Avg) 0.0435
               valid loss 16.394465  auc  0.7687  rmse  0.1140  df(ActivateDay.Avg) 0.0781
     train: epoch 43 loss 0.572374  auc  0.7625  rmse  0.1149  df(ActivateDay.Avg) 0.0424
               valid loss 16.660864  auc  0.7716  rmse  0.1138  df(ActivateDay.Avg) 0.0329
     train: epoch 44 loss 0.572647  auc  0.7628  rmse  0.1149  df(ActivateDay.Avg) 0.0422
